clinical_significance	count
NA	760573
benign	31607
likely_benign	751
benign&likely_benign	712
uncertain_significance	206
likely_benign&benign	142
benign&benign/likely_benign	91
benign/likely_benign&benign	90
uncertain_significance&benign	75
uncertain_significance&benign&likely_benign	67
not_provided	49
likely_benign&benign&benign/likely_benign	42
drug_response	33
benign/likely_benign&benign&likely_benign	31
benign&benign/likely_benign&likely_benign	28
benign&uncertain_significance	28
association	27
benign&likely_benign&benign/likely_benign	27
benign/likely_benign	27
likely_benign&benign/likely_benign&benign	24
benign/likely_benign&likely_benign&benign	23
not_provided&benign	22
risk_factor	21
benign&not_provided	20
benign/likely_benign&likely_benign	20
likely_benign&benign/likely_benign	19
risk_factor&benign	18
benign&risk_factor	16
uncertain_significance&likely_benign	14
likely_benign&uncertain_significance	13
conflicting_classifications_of_pathogenicity&benign	11
benign&conflicting_classifications_of_pathogenicity	10
benign&pathogenic	10
association&benign	9
benign&drug_response	9
uncertain_significance&conflicting_classifications_of_pathogenicity	8
benign&association	7
benign&other	7
other	7
affects	6
benign&likely_pathogenic	6
other&benign	6
protective	6
conflicting_classifications_of_pathogenicity	5
drug_response&benign	5
pathogenic&benign	5
benign&protective	3
likely_benign&conflicting_classifications_of_pathogenicity	3
likely_benign&uncertain_significance&benign	3
likely_pathogenic	3
not_provided&benign&likely_benign	3
uncertain_risk_allele	3
benign&benign/likely_benign&uncertain_significance	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&uncertain_significance	2
likely_pathogenic&benign	2
likely_risk_allele&benign	2
pathogenic&protective&risk_factor	2
uncertain_significance&not_provided&benign&likely_benign	2
association&benign&likely_benign	1
association&drug_response&risk_factor	1
association&likely_benign&benign	1
association&likely_benign&likely_pathogenic&other&uncertain_significance&conflicting_classifications_of_pathogenicity&pathogenic&risk_factor	1
association&pathogenic&protective	1
association_not_found	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
benign&drug_response&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&drug_response&risk_factor&likely_benign	1
benign&likely_benign&pathogenic	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&likely_risk_allele	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_significance&benign/likely_benign	1
benign&uncertain_significance&likely_benign	1
benign&uncertain_significance&risk_factor	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&uncertain_significance	1
benign/likely_benign&benign&uncertain_significance&likely_benign	1
benign/likely_benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign/likely_benign&likely_benign&benign&protective	1
benign/likely_benign&not_provided	1
benign/likely_benign&uncertain_significance&benign	1
benign/likely_benign&uncertain_significance&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&uncertain_significance&benign/likely_benign	1
drug_response&association&benign	1
drug_response&benign&likely_benign	1
drug_response&likely_benign&benign	1
likely_benign&benign&benign/likely_benign&uncertain_significance	1
likely_benign&benign&conflicting_classifications_of_pathogenicity	1
likely_benign&benign&uncertain_significance	1
likely_benign&benign/likely_benign&benign&drug_response	1
likely_benign&benign/likely_benign&uncertain_significance	1
likely_benign&conflicting_classifications_of_pathogenicity&benign	1
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	1
likely_benign&drug_response	1
likely_benign&likely_pathogenic&conflicting_classifications_of_pathogenicity&uncertain_significance&benign	1
likely_benign&not_provided&benign	1
likely_benign&pathogenic&benign&uncertain_significance&risk_factor	1
likely_benign&pathogenic&benign/likely_benign&benign	1
likely_benign&protective&benign&benign/likely_benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic&benign&likely_benign&benign/likely_benign	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
likely_pathogenic&pathogenic	1
likely_pathogenic&pathogenic/likely_pathogenic	1
likely_pathogenic&uncertain_significance	1
likely_risk_allele	1
likely_risk_allele&association&benign&uncertain_significance	1
not_provided&association_not_found	1
not_provided&benign&benign/likely_benign	1
not_provided&benign/likely_benign&benign	1
not_provided&risk_factor	1
other&confers_sensitivity	1
other&risk_factor	1
pathogenic	1
pathogenic&benign&affects	1
pathogenic&benign/likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&other	1
pathogenic&other&not_provided&protective	1
pathogenic&risk_factor&benign	1
pathogenic&uncertain_significance&benign	1
pathogenic/likely_pathogenic&pathogenic	1
protective&pathogenic&uncertain_significance&other&likely_benign&drug_response	1
protective&risk_factor	1
risk_factor&affects&benign	1
risk_factor&benign&association	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&likely_benign	1
risk_factor&benign&uncertain_significance	1
risk_factor&uncertain_risk_allele	1
uncertain_significance&benign&benign/likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign	1
uncertain_significance&conflicting_classifications_of_pathogenicity&benign	1
uncertain_significance&drug_response&risk_factor	1
uncertain_significance&not_provided&benign	1
uncertain_significance&risk_factor&likely_benign	1
