sample_id	run_id	assay_type	run_classification	gene_id	gene_symbol	overlay_source	overlay_source_count	overlay_source_list	mitocarta_hit	epi25_hit	match_key	frequency_status	rarity_flag	variant_count
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000197283	SYNGAP1	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id	common	common	3
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000197283	SYNGAP1	epi25_all_epilepsy	1	epi25_all_epilepsy	False	True	ensembl_gene_id	rare	rare	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000109576	AADAT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000124608	AARS2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	3
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000008311	AASS	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000183044	ABAT	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	3
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000154258	ABCA9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000154258	ABCA9	mitocarta	1	mitocarta	True	False	ensembl_gene_id	rare	rare	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000115657	ABCB6	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000197150	ABCB8	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	2
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000106077	ABHD11	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000167315	ACAA2	mitocarta	1	mitocarta	True	False	ensembl_gene_id	rare	rare	1
ERR10619207	run_2026_06_01_124134	WES	full_pipeline	ENSG00000076555	ACACB	mitocarta	1	mitocarta	True	False	ensembl_gene_id	common	common	7
